,countries,states,chats
0,Switzerland,,https://t.me/helpfulinfoforua
1,Switzerland,,https://t.me/ukraine_reborn
2,Switzerland,,https://t.me/help_people_fromUkraine
3,Switzerland,,https://t.me/LousanneUkraine
4,Switzerland,,https://t.me/LuzernUkraine
5,Switzerland,Valais,https://t.me/ValaisUkraine
6,Switzerland,,https://t.me/WinterthurUkraine
7,Switzerland,Thurgau,https://t.me/ThurgauUkraine
8,Switzerland,,https://t.me/BielBienneUkraine
9,Switzerland,,https://t.me/fribourg1
10,Switzerland,,https://t.me/campax_ukraine_help_switzerland
11,Switzerland,,https://t.me/refugeesinSwitzerland
12,Switzerland,,https://t.me/zh_helps_ukraine
13,Switzerland,,https://t.me/zh_helps_UArefugee
14,Switzerland,,https://t.me/zurich_hb_help
15,Switzerland,,https://t.me/zh_housing
16,Switzerland,,https://t.me/helppetsfromukraine
17,Switzerland,,https://t.me/zh_helps_UArefugees
18,Switzerland,,https://t.me/seep_helpukrainians
19,Switzerland,,https://t.me/Zh_helps_UA_mums
20,Switzerland,,https://t.me/job_sw_ukrainians
21,Switzerland,,https://t.me/zh_back_ukraine
22,Switzerland,,https://t.me/zh_helps_logistics
23,Switzerland,Aargau,https://t.me/AargauUkraine
24,Switzerland,Bern,https://t.me/BernUkraine
25,Switzerland,Ticino,https://t.me/TicinoLuganoUkraine
26,Switzerland,,https://t.me/UASchweiz
27,Switzerland,,https://t.me/help_people_fromUkraine
28,Switzerland,,https://t.me/SwissUA
29,Switzerland,,https://t.me/BaselUkraine
30,Switzerland,,https://t.me/UkrainerInBasel
31,Switzerland,,https://t.me/ukrainer_basel
32,Switzerland,Bern,https://t.me/IntegrationBernCH
33,Switzerland,,https://t.me/GeneveUkraine
34,Switzerland,,https://t.me/StGallenUkraine
35,Switzerland,,https://t.me/UkrainianSwitzerland
36,Switzerland,,https://t.me/goodbern
37,Germany,,https://t.me/refugees_in_Germany
38,Germany,,https://t.me/germanyhelpsukraine
39,Germany,,https://t.me/ukrainehelpberlin
40,Germany,,https://t.me/help_in_Nuremberg_UA
41,Germany,,https://t.me/helpUkraine_Gemany
42,Germany,,https://t.me/hamburg_hilft
43,Germany,,https://t.me/cologne_help
44,Germany,,https://t.me/Rostock_Ukraine
45,Germany,,https://t.me/work_ukr_berlin
46,Germany,,https://t.me/ukc_munich_volunteer
47,Germany,,https://t.me/naym_germany
48,Germany,,https://t.me/hamburg_help
49,Germany,,https://t.me/bielefeldhelps
50,Germany,Bremen,https://t.me/Bremenhelpsukraine
51,Germany,Bremen,https://t.me/SolidarityUkraineBremen
52,Germany,,https://t.me/suport_ukraine_in_bremen
53,Germany,,https://t.me/pomosh_Germany_Chemnitz_Ukraine
54,Germany,,https://t.me/duisburgukraine
55,Germany,,https://t.me/ukr_de_essen
56,Germany,,https://t.me/KasselUkrainehilfen
57,Germany,,https://t.me/magdeburg_ukraine
58,Germany,,https://t.me/ukraine_helfen_mainz
59,Germany,,https://t.me/ukrainerinleipzig
60,Germany,,https://t.me/ukraine_karlsruhe
61,Germany,,https://t.me/uahelpkoelnanzeigen
62,Germany,,https://t.me/accomodation_leipzig_ukraine
63,Germany,,https://t.me/accomodationsunday
64,Germany,,https://t.me/ukrainerinleipzig
65,Germany,,https://t.me/paderbornhelpsukr
66,Germany,,https://t.me/UA_Paderborn
67,Germany,,https://t.me/HelpUKR_Mainz
68,Germany,,https://t.me/duisburgukraine
