country,state,city,chat
Switzerland,Zurich,,https://t.me/zurich_hb_help
Switzerland,,,https://t.me/helpfulinfoforua
Switzerland,,,https://t.me/ukraine_reborn
Switzerland,,,https://t.me/help_people_fromUkraine
Switzerland,Vaud,Lausanne,https://t.me/LousanneUkraine
Switzerland,Lucerne,Luzern,https://t.me/LuzernUkraine
Switzerland,Valais,,https://t.me/ValaisUkraine
Switzerland,Zurich,Winterthur,https://t.me/WinterthurUkraine
Switzerland,Thurgau,,https://t.me/ThurgauUkraine
Switzerland,Bern,Biel/Bienne,https://t.me/BielBienneUkraine
Switzerland,,,https://t.me/campax_ukraine_help_switzerland
Switzerland,,,https://t.me/refugeesinSwitzerland
Switzerland,,,https://t.me/zh_helps_ukraine
Switzerland,,,https://t.me/zh_helps_UArefugee
Switzerland,,,https://t.me/zh_housing
Switzerland,,,https://t.me/helppetsfromukraine
Switzerland,,,https://t.me/zh_helps_UArefugees
Switzerland,,,https://t.me/seep_helpukrainians
Switzerland,,,https://t.me/Zh_helps_UA_mums
Switzerland,,,https://t.me/job_sw_ukrainians
Switzerland,,,https://t.me/zh_back_ukraine
Switzerland,Aargau,,https://t.me/AargauUkraine
Switzerland,Bern,Bern,https://t.me/BernUkraine
Switzerland,Ticino,Lugano,https://t.me/TicinoLuganoUkraine
Switzerland,,,https://t.me/UASchweiz
Switzerland,,,https://t.me/SwissUA
Switzerland,Basel,Basel,https://t.me/BaselUkraine
Switzerland,Basel,Basel,https://t.me/UkrainerInBasel
Switzerland,Basel,Basel,https://t.me/ukrainer_basel
Switzerland,Bern,Bern,https://t.me/IntegrationBernCH
Switzerland,Geneva,,https://t.me/GeneveUkraine
Switzerland,Saint Gallen,,https://t.me/StGallenUkraine
Switzerland,,,https://t.me/UkrainianSwitzerland
Switzerland,Bern,Bern,https://t.me/goodbern
Germany,,,https://t.me/refugees_in_Germany
Germany,,,https://t.me/germanyhelpsukraine
Germany,Berlin,Berlin,https://t.me/ukrainehelpberlin
Germany,Bavaria,Nuremberg,https://t.me/help_in_Nuremberg_UA
Germany,,,https://t.me/helpUkraine_Gemany
Germany,Hamburg,Hamburg,https://t.me/hamburg_hilft
Germany,North Rhine-Westphalia,Cologne,https://t.me/cologne_help
Germany,Mecklenburg-Vorpommern,Rostock,https://t.me/Rostock_Ukraine
Germany,Berlin,Berlin,https://t.me/work_ukr_berlin
Germany,Bavaria,Munich,https://t.me/ukc_munich_volunteer
Germany,Hamburg,Hamburg,https://t.me/hamburg_help
Germany,North Rhine-Westphalia,Bielefeld,https://t.me/bielefeldhelps
Germany,Bremen,Bremen,https://t.me/SolidarityUkraineBremen
Germany,Bremen,Bremen,https://t.me/suport_ukraine_in_bremen
Germany,Saxony,Chemnitz,https://t.me/pomosh_Germany_Chemnitz_Ukraine
Germany,North Rhine-Westphalia,Duisburg,https://t.me/duisburgukraine
Germany,North Rhine-Westphalia,Essen,https://t.me/ukr_de_essen
Germany,Hesse,Kassel,https://t.me/KasselUkrainehilfen
Germany,Rheinland-Pfalz,Mainz,https://t.me/ukraine_helfen_mainz
Germany,Saxony,Leipzig,https://t.me/ukrainerinleipzig
Germany,Baden-Württemberg,Karlsruhe,https://t.me/ukraine_karlsruhe
Germany,,,https://t.me/uahelpkoelnanzeigen
Germany,Saxony,Leipzig,https://t.me/accomodation_leipzig_ukraine
Germany,,,https://t.me/accomodationsunday
Germany,North Rhine-Westphalia,Paderborn,https://t.me/paderbornhelpsukr
Germany,North Rhine-Westphalia,Paderborn,https://t.me/UA_Paderborn
Germany,Rheinland-Pfalz,Mainz,https://t.me/HelpUKR_Mainz
