chat,messageDatetime,messageText
https://t.me/AargauUkraine,2022-03-18 13:33:30+00:00,
https://t.me/AargauUkraine,2022-03-18 13:42:12+00:00,
https://t.me/AargauUkraine,2022-03-18 13:43:09+00:00,"Группа (чат) для украинцев в Ааргау. Украинцы, помогаем друг другу в Ааргау и окрестностях."
https://t.me/AargauUkraine,2022-03-18 13:47:42+00:00,
https://t.me/AargauUkraine,2022-03-18 13:48:00+00:00,
https://t.me/AargauUkraine,2022-03-18 14:07:41+00:00,
https://t.me/AargauUkraine,2022-03-18 14:07:50+00:00,Привет. Я в Бадене
https://t.me/AargauUkraine,2022-03-18 14:08:35+00:00,"Привет,  я в Лойгерне.Сама из Киева. Пишите, кто откуда и где сейчас?"
https://t.me/AargauUkraine,2022-03-18 14:10:49+00:00,"Ещё раз)

Привет. Я в Бадене. С дочкой Александрой ей сегодня 1.8, 
Мамой и кошкой Машей 
Я из Киева"
https://t.me/AargauUkraine,2022-03-18 14:11:28+00:00,
https://t.me/AargauUkraine,2022-03-18 14:11:50+00:00,
https://t.me/AargauUkraine,2022-03-18 14:11:54+00:00,
https://t.me/AargauUkraine,2022-03-18 14:12:20+00:00,"Кто-то уже получил статус ? 
Расскажите какие выплаты в нашем регионе? 
Я только вчера онлайн заявку создала"
https://t.me/AargauUkraine,2022-03-18 14:12:21+00:00,"От меня Баден 20 км. Ездила получать карту Swisscom, не получила. Получила в другом в городе."
https://t.me/AargauUkraine,2022-03-18 14:12:21+00:00,"Добрый день! Айкен👋🏽
Из Одессы"
https://t.me/AargauUkraine,2022-03-18 14:12:40+00:00,"Я с Черновиц  , я в 5 мин. от Бадена"
https://t.me/AargauUkraine,2022-03-18 14:12:50+00:00,"Я вчера получила. Завтра в Цюрих едем, маме возьмём"
https://t.me/AargauUkraine,2022-03-18 14:13:04+00:00,Тут походу  те кто только приехал?
https://t.me/AargauUkraine,2022-03-18 14:13:24+00:00,"Я приехала за 2 дня до войны, в гости🙈"
https://t.me/AargauUkraine,2022-03-18 14:13:47+00:00,Я уже 6 лет тут 😅
https://t.me/AargauUkraine,2022-03-18 14:14:05+00:00,Легально?)
https://t.me/AargauUkraine,2022-03-18 14:14:08+00:00,"Веселее ,чем нам😜"
https://t.me/AargauUkraine,2022-03-18 14:14:28+00:00,"Конечно , тут не легально нереально жить !"
https://t.me/AargauUkraine,2022-03-18 14:15:10+00:00,
https://t.me/AargauUkraine,2022-03-18 14:15:12+00:00,"Ну то через что некоторые прошли , конечно не весело!"
https://t.me/AargauUkraine,2022-03-18 14:15:25+00:00,Но тут не так уж весело!
https://t.me/AargauUkraine,2022-03-18 14:16:09+00:00,"Не весело, но нам страдать долго нельзя.Будем организовываться."
https://t.me/AargauUkraine,2022-03-18 14:16:13+00:00,Так вы тут уже своя)
https://t.me/AargauUkraine,2022-03-18 14:16:47+00:00,"Ну как бы не так, у меня тут нету знакомых земляков."
https://t.me/AargauUkraine,2022-03-18 14:17:28+00:00,Только сейчас из за работы Волонтёра  со многими познакомилась. 🤗
https://t.me/AargauUkraine,2022-03-18 14:18:04+00:00,Нас тут что только 3  человек?
https://t.me/AargauUkraine,2022-03-18 14:18:21+00:00,Здравствуйте! ПОМОГИТЕ найти комнату в Цюрихе.2 чел.Беженки  из Украины . +380997135494 Помогите Пожалуйста!
https://t.me/AargauUkraine,2022-03-18 14:18:50+00:00,Все знакомства зависят только от нас. Я в 2014 году из Луганска переехала в Киев. И в Киеве построила новую жизнь. Такую же счастливую как и в украинском Луганске. Сейчас нужно здесь строить 👌
https://t.me/AargauUkraine,2022-03-18 14:19:25+00:00,"Ооо, не легко было!!"
https://t.me/AargauUkraine,2022-03-18 14:20:07+00:00,Я уехала из Донецка да год до войны. А моя мама во время войны. И тут опять такое 😭😭😭
https://t.me/AargauUkraine,2022-03-18 14:20:18+00:00,Не осуждайте- но у меня плохой опыт со знакомствами с нашими земляками за границей!!
https://t.me/AargauUkraine,2022-03-18 14:20:45+00:00,О господи!!  Как некоторым не повезло!
https://t.me/AargauUkraine,2022-03-18 14:21:07+00:00,Второй раз такое !
https://t.me/AargauUkraine,2022-03-18 14:21:47+00:00,"Оксана, я сама тоже из Луганской области.
Училась в Киеве, когда началась война дома, уехала в Одессу.
Теперь сюда)"
https://t.me/AargauUkraine,2022-03-18 14:23:37+00:00,
https://t.me/AargauUkraine,2022-03-18 14:25:57+00:00,"По третьему кругу начинаем заново. Девочки, не вешаем нос. Украинцы имеют большую волю к жизни.Давайте по возможности помогать друг другу. Советом,  словом, не стесняйтесь спрашивать ,просить."
https://t.me/AargauUkraine,2022-03-18 14:25:58+00:00,"Подскажи пожалуйста 
У меня с собой евро. Их можно в любом отделении поменять на швейцарский франк? Евро не принимают?"
https://t.me/AargauUkraine,2022-03-18 14:26:43+00:00,"Знаю, что меняют легко, не знаю где. Могу спросить позже."
https://t.me/AargauUkraine,2022-03-18 14:27:51+00:00,"Всем привет,я в Бадене живу в семье пока,сама приехала на 4 месяце беременности,сама из Луганска,уехала из за войны в 2014 году все начала с нуля и все вроде бы пошло хорошо,но опять война и я теперь здесь"
https://t.me/AargauUkraine,2022-03-18 14:28:03+00:00,"Да, можно в любом банке обменять"
https://t.me/AargauUkraine,2022-03-18 14:28:22+00:00,Тут же немцы тоже меняют свои евро на франки
https://t.me/AargauUkraine,2022-03-18 14:28:27+00:00,
https://t.me/AargauUkraine,2022-03-18 14:30:05+00:00,"Я часто переезжала, и это было тяжело, но вот не могу себе даже представь как это во время войны!"
https://t.me/AargauUkraine,2022-03-18 14:30:33+00:00,"Ничего, мы  народ 💪! Справимся"
https://t.me/AargauUkraine,2022-03-18 14:31:11+00:00,"Привет, Алёна.тут уже трое с Луганска.😜"
https://t.me/AargauUkraine,2022-03-18 14:31:24+00:00,"Да я вижу,все свои)"
https://t.me/AargauUkraine,2022-03-18 14:31:35+00:00,Не могла подумать
https://t.me/AargauUkraine,2022-03-18 14:31:43+00:00,Где б мы еще все встретились
https://t.me/AargauUkraine,2022-03-18 14:31:45+00:00,Только я с запада☺️😁
https://t.me/AargauUkraine,2022-03-18 14:32:09+00:00,Теперь главное чтоб все у нас у всех здесь получилось🙏🏼очень переживаю
https://t.me/AargauUkraine,2022-03-18 14:32:38+00:00,А возвращаться никто не планирует ?
